Unnamed: 0,CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,per_slope_change_0,per_slope_change_1,per_slope_change_2,per_slope_change_3,per_slope_change_4,per_slope_change_5,per_slope_change_6,per_slope_change_7,slope_0,slope_1,slope_2,slope_3,slope_4,slope_5,slope_6,slope_7,slope_8,dif_first,dif_last
122308,NEC8,910942,272,272_910942,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.943678694,0.792840024,0.5876389,0.09321156,0.148408225,0.011390352,0.005137854,0.008500817,0.006223471,1.6781805,0.36040103,1.4094775,-1.1116375,-3.4823587,-0.9543673,-1.5378592,-1.6771843,-0.5068919,-1.357548,-1.8468096,-4.4498463,0.49676982,-1.2331609,-0.056272484,0.030266672,-0.020496119,0.05632130599999996,0.0022773460000000004
122319,D-502MG,946373,272,272_946373,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.979937796,0.957918022,0.930245401,0.913753485,0.872838669,0.640591966,0.307968892,0.159040027,0.114572183,0.09757328,0.2567197,-0.40403634,1.4809055,4.6763463,0.4321972,-0.55225945,-0.7014154,-0.18055987,-0.1981777,-0.24905382,-0.14842702,-0.3682334,-2.0902205,-2.993608,-1.3403597,-0.40021068,0.020062204000000028,0.044467844000000006
122325,KOPN-8,1330933,300,300_1330933,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.983222143,0.891048602,0.818288385,0.765522605,0.577073662,0.416328835,0.317560518,0.003220253,0.004382479,4.4937544,-0.21061689,-0.27479887,2.5714226,-0.14701134,-0.3855582,2.182602,-1.0036974,-0.15100086,-0.82956165,-0.65484196,-0.4748921,-1.6960404,-1.4467032,-0.88891494,-2.8290625,0.010460035,0.016777857000000007,0.0011622259999999997
122326,HOP-62,905972,173,173_905972,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.931455905,0.869868705,0.914398157,0.771770766,0.85176722,0.628420788,0.128851917,0.174485323,0.11671847,-0.10149491,-1.7230306,-4.2029905,-1.5608773,-3.7919552,1.2367437,-1.0913455,-2.2658896,-0.6168968,-0.55428493,0.4007649,-1.2836463,0.719968,-2.0101185,-4.49612,0.41070068,-0.51990175,0.06854409500000003,0.05776685299999999
122338,HOP-62,905972,179,179_905972,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.954087282,0.918114963,0.862708037,0.695251453,0.645577564,0.531712168,0.452178714,0.411975657,0.418447416,-0.21650732,0.5402665,2.022304,-0.70336246,1.2922575,-0.30151325,-0.4945138,-1.1609766,-0.41321468,-0.32375067,-0.49866232,-1.5071092,-0.44706514,-1.0247885,-0.7158012,-0.3618276,0.05824578,0.045912717999999964,0.006471759000000021
122389,AM-38,910933,274,274_910933,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.981710813,0.678117283,0.627025734,0.277370149,0.2135244,0.283221875,0.100835959,0.016530526,0.021395574,15.599598,-0.8317107,5.843707,-0.8174039,-2.0916543,-3.6168227,-0.53776354,-1.0577074,-0.16460288,-2.7323415,-0.45982394,-3.1469004,-0.57461166,0.62727726,-1.6414734,-0.7587489,0.043785423,0.01828918700000004,0.004865048
122425,KP-3,1298219,219,219_1298219,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.927925749,0.932977991,0.800282193,0.659839109,0.476192025,0.437963133,0.431578024,0.435229523,0.384702471,-1.0700973,-27.264904,0.05838406,0.30762577,-0.7918349,-0.8329767,-1.5718768,-14.8373375,-0.6486681,0.04546988,-1.194262,-1.2639879,-1.6528232,-0.34406012,-0.057466064,0.0328635,-0.45474336,0.07207425099999998,0.05052705200000002
122468,OV-7,1480360,274,274_1480360,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.955215191,0.932998883,0.751111181,0.588493356,0.351571887,0.120580765,0.105271324,0.04676257,0.022999949,-0.5039315,7.1871195,-0.10594338,0.45692122,-0.025030494,-0.93372285,2.821744,-0.5938622,-0.40306306,-0.19994688,-1.636989,-1.4635608,-2.1322927,-2.0789204,-0.13778496,-0.52657884,-0.2138636,0.044784809000000037,0.023762621000000005
122503,RVH-421,909706,272,272_909706,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.933083724,0.957903936,0.869669954,0.822099907,0.780700487,0.690496569,0.594923931,0.494311433,0.492769181,-1.3709143,-4.5549235,-0.46086448,-0.12971699,1.1788704,0.059517503,0.052733064,-0.9846715,-0.6022466,0.22338188,-0.79410547,-0.42813048,-0.37259468,-0.8118355,-0.8601539,-0.90551245,-0.013880164,0.06691627600000005,0.0015422520000000217
122535,HOP-62,905972,301,301_905972,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.918287181,0.84815546,0.820709458,0.639589117,0.515644068,0.503763577,0.393348517,0.386406937,0.397831592,-0.14172953,-0.6086511,5.5991597,-0.3156758,-0.9041469,8.293791,-0.9371319,-2.6458285,-0.7354156,-0.6311855,-0.24701373,-1.6300831,-1.1155053,-0.10692466,-0.99373543,-0.062474284,0.10282195,0.08171281900000005,0.011424655000000006
