DRUG_COSMICID,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,param_1,param_2,param_3,param_4
274_1674021,1,0.988215477,0.937562449,0.80013047,0.595276177,0.418800017,0.280545049,0.191789214,0.201760642,0.193383844,0.428221903,1.191479875,-9.322495203,0.180676662
245_907274,1,0.959684321,0.927249442,0.920875547,0.959846663,0.905423915,0.764699983,0.21254572,0.004254909,0.001230863,0.723176387,1.053724841,-23.80614178,2.17E-16
157_906848,1,0.967117295,0.935898965,0.890481208,0.828936751,0.770004755,0.335420646,0.062051059,0.045924359,0.035553237,0.624397085,1.096448785,-17.65076288,0.024773097
53_1330991,1,0.969807777,0.938293613,0.939069523,0.909829577,0.891582322,0.786484784,0.477724335,0.082104048,0.08021014,0.762091062,1.089536492,-16.70459195,0.028217459
1014_1287706,1,0.950553846,0.501975208,0.298052911,0.220692325,0.192322189,0.164596249,0.148133362,0.135127695,0.100482446,0.198818567,1.107176466,-16.00584664,0.15857144
1054_949088,1,0.961153854,0.895322203,0.823173014,0.631088558,0.635944699,0.497546237,0.493618198,0.392098941,0.395964157,0.350804659,1.374726972,-5.10159793,0.359304931
200_1322218,1,0.999255468,0.902257834,0.821783808,0.372694689,0.256163014,0.094087151,0.089734505,0.043103625,0.010314865,0.413141574,1.038524429,-12.27961301,0.049919056
302_749711,1,0.97358651,0.998968644,0.982866083,0.93854187,0.810990393,0.58492343,0.364628571,0.355420738,0.312811481,0.603057185,1.480702251,-14.04096604,0.315064271
256_907269,1,0.955722771,0.91412849,0.826058042,0.913324591,0.784790721,0.843932799,0.585518227,0.268598997,0.241833356,0.763039767,1.452748556,-19.21850164,0.21435049
180_753561,1,0.999084532,0.832373636,0.586654365,0.185814244,0.047278702,0.020965689,0.022305606,0.025999651,0.030290289,0.345235002,1.014194206,-15.04898076,0.018455446
268_722046,1,0.972230977,0.981680512,0.909534994,0.703689597,0.261052295,0.060030476,0.01220432,0.00662094,0.004872056,0.494611059,1.020218636,-16.8707546,0.004803169
344_909260,1,0.98838514,0.976043763,0.908934954,0.730686832,0.088607495,0.006808124,0.00423586,0.00516764,0.008295884,0.479016736,1.032150349,-29.86359206,0.003801304
60_907175,1,0.973842586,0.978294474,0.951990427,0.929135051,0.917110545,0.738583662,0.289801606,0.297474722,0.334138885,0.669121816,1.53547514,-99.9995599,0.307132504
274_1479988,1,0.95205198,0.795068994,0.573599081,0.380477518,0.260512128,0.116552187,0.060253701,0.036903663,0.025365807,0.365182421,0.911775887,-6.832169111,0.010775238
