DRUG_COSMICID,R2_Score
1031_909777,0.906916859856488
328_910904,0.8859863328112595
344_1524415,0.6037633681600811
140_906856,0.8566713105500618
268_946373,-0.18697077680041807
200_906795,0.6245115104597638
245_907286,0.7311515849848782
272_908118,0.8321845417894793
133_1331040,0.7933231320334528
196_1298349,0.6847821347825114
170_910691,0.6298260971158366
180_905961,-0.43462342370960294
273_906793,0.7405959886481229
245_1299081,0.34726764033969004
1057_1240149,0.8180771087319011
344_907042,0.7477479699507563
173_1330983,0.1054732085991108
152_907175,0.8539276307721404
1031_907072,0.9576492640309116
1003_909773,0.846481819651484
170_753562,0.5959844422335538
170_907059,0.847384258392151
170_910948,0.6933373516620038
346_924104,0.6818929935309683
1003_907323,0.7023032284385571
165_908448,0.8131273699082285
194_687821,0.8014831700592284
170_749709,0.6054117305264526
300_909720,0.8932697953682417
194_906856,0.6316412252473227
276_905947,0.8963296812612475
272_688015,0.6967978695630008
272_907172,0.734871798680738
344_946360,0.8161935713696469
344_909753,0.7674766307639941
308_910925,0.8224124000081493
157_907000,0.7720413346419212
272_1290812,0.8549316221166622
273_907786,0.8644862353943368
245_906862,0.5234463975036081
229_1330985,0.9202484403534881
170_906791,0.8029853473155265
157_753620,0.695967011103836
180_1290798,-0.9123237287982164
133_905938,0.901267990940023
170_909761,0.2501113840932535
252_749713,0.022336599659760425
219_753586,0.8187289839907386
308_1290797,0.39548134432762083
176_687780,0.27255506584373435
346_907290,0.46242171874694116
167_753586,0.7836383279340557
170_1240128,0.6434007021588761
1037_1240206,0.09392655677098916
272_909758,0.7172645398489783
346_909718,0.7263981942844164
184_753554,0.25855584282889355
172_1299070,0.46047065162771306
173_908127,0.4705772078199434
41_905964,0.6677589738192979
41_910906,0.655360423579668
235_1331038,0.4394533302451302
235_688018,0.8376713499838266
331_688026,0.847188178737813
235_1327768,0.8195634665857343
200_1298531,0.8361539150165844
170_1327768,-0.0843419290370524
157_905972,0.7654945490462826
328_687562,0.7145936901721697
170_1240167,0.41372866227359784
165_1240169,0.850599785493777
219_971773,0.8511379914162134
308_907319,0.704310610204357
201_909252,0.64207371462139
172_910919,0.7590148182881279
1004_909905,0.8550074001173166
1057_1240161,0.9970120480429039
272_1240140,0.8685198506222378
1031_1503369,0.7641309674508124
200_906797,0.8534116708608551
269_1240157,0.7809480481168181
273_907788,0.8613203501968854
200_909759,0.858364540428376
308_1330931,0.8208820260165737
133_906836,0.8455752315249729
9_906800,0.4367404744224309
344_753545,0.7632808897582973
273_906865,0.9065570665792583
346_1524419,0.871886990907959
269_713899,0.7072438442974615
275_909252,0.9255856576727097
170_1240190,0.5346833214815969
1149_1240222,0.50598938102813
1026_910947,0.3971762060245635
273_909747,0.8649880768645171
170_1299081,0.8211956365852323
180_1298144,0.898574538403466
274_908148,0.641075083642973
235_688026,0.25210454150702055
252_753552,0.4572869247414175
88_910947,0.5160705611336699
167_1298362,0.5149745006132627
245_906833,0.10681181109593174
272_905971,0.713512445657341
190_909255,0.8015574631649109
273_910952,0.7342397494274876
272_1298168,0.8099932527575422
170_924104,0.6879308879803783
11_906870,0.701282488683914
104_909249,0.9060956247913076
273_905939,0.8424211880705561
245_907050,0.6126631175661661
157_909785,0.7951799518255757
133_909715,0.8593680964687183
170_906792,0.8077418400001035
1149_1659819,0.657117960909491
140_722045,0.8548430050693419
88_906836,0.9475615145045355
245_1322218,0.2388687341596324
256_687562,0.7767080649103686
1012_910710,0.6653440509590332
273_687563,0.7131859023217504
170_907050,0.5975480077472084
252_907799,0.6032623172204276
159_907072,0.7708186082638705
45_908159,0.29852614034761193
276_908475,0.36759101436997343
45_1330950,0.07860719852962106
165_906873,0.5851866596468807
1026_906820,0.8287734112083917
346_1240154,-0.2466752978227451
190_909251,0.8429182860833123
41_910710,0.7991058899697762
308_753558,0.8411202143772634
273_1503371,0.6775467954279435
276_1660035,0.806887862370897
200_906817,0.6797079080540571
274_910935,0.5362759128394148
328_1330935,0.4659891255598415
136_1240202,0.9244404248411923
180_688031,0.7226190501396569
201_905984,0.9410109968892665
170_687505,0.735031955329318
225_1240222,0.16662553672274494
245_753592,0.20751086666755525
200_949153,0.8614221757922171
159_687505,0.8939102035179037
83_909715,0.9346700011942648
274_909762,0.612284268665866
87_1290455,0.7069040228171471
245_909743,0.49557630587355683
225_1322218,0.5273187438485216
273_724863,0.8068063168684537
135_907170,0.7669953894504244
1149_688025,0.8261215611931336
273_713880,0.6922542870680974
219_1659817,0.07889885596666868
256_688026,0.7887301498827993
41_1240193,0.6888687114430231
164_907277,0.9747999495362802
1031_905959,0.8037810534043888
194_906999,0.884201448677155
1031_905964,0.9120203094902114
1031_753608,0.8381219352941798
194_908451,0.5630197380412483
200_909726,0.9105218904159531
269_684052,0.2617956049415734
140_1331034,0.7271883935608408
165_949175,0.8755461119494865
300_949172,0.811535561767126
53_1297446,0.7362506292098623
194_909248,0.796936440594718
273_1298352,0.6373861848429349
176_1297449,0.837853993120443
252_909771,0.39656268460952526
308_909758,0.7599267644398122
140_905943,0.7826732619672702
276_907319,0.5731518043138406
194_905983,0.5280330939146647
276_683667,0.5998014730732846
157_753564,0.8132346396976404
163_906828,0.9680016244202855
194_1290725,0.7414503410912581
1022_908136,0.8067093094919172
305_907055,-0.12001176111405853
276_910943,0.6378711445863512
235_906824,0.8317188948714994
173_684072,0.7590634766231469
219_910918,0.5177330840975788
328_906790,0.7902364588258686
344_905969,0.8087737036382204
273_907312,0.4068416888628823
245_722045,0.5139191890860888
274_908472,0.8566310921578318
330_1295740,0.9234907618810418
274_753584,0.640372318198415
200_907322,0.905042774176005
11_908159,0.7983095927172645
252_906836,0.6396251487685056
344_909696,0.8282324737625993
306_910710,0.9253944945067313
1007_1240122,0.9845141527800205
245_909703,0.6988802487062258
45_1297446,0.3607810418508949
60_1327774,0.8267047117227989
273_1290797,0.30837645241496103
344_946370,0.6550732904706598
272_906804,0.8705180518813216
135_905962,0.5138608810424404
200_753559,0.844237739040734
306_907786,0.8257498053133043
133_971773,0.34481359196797334
180_1240196,0.5244894133667976
245_905954,-0.2665525058348406
344_909781,0.7305878222679818
170_908457,0.6710087169389275
252_909773,0.7526104813311614
272_971773,0.66976828881791
1007_1240190,0.8169841786627299
196_908142,0.838119160897905
104_909754,0.7197349550473914
203_906804,0.7005534049445226
201_1290808,0.962110373669918
274_910943,0.8897681352381572
180_910922,0.822802227270264
276_1240147,0.7489554017909854
182_1240190,-0.17243165325609966
308_1240191,0.8624575102596146
140_949163,0.9274926974989841
1026_753592,0.5293253536282116
219_1503362,0.7930313311520476
