,Unnamed: 0,CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,per_slope_change_0,per_slope_change_1,per_slope_change_2,per_slope_change_3,per_slope_change_4,per_slope_change_5,per_slope_change_6,per_slope_change_7,slope_0,slope_1,slope_2,slope_3,slope_4,slope_5,slope_6,slope_7,slope_8,dif_first,dif_last
114906,114906,AN3-CA,910781,155,155_910781,2,0.512,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9778138540000001,0.797713325,0.631295574,0.537362918,0.281634996,0.357386427,0.228486059,0.178002563,0.165720037,7.1176960000000005,-0.075972736,-0.43556130000000004,1.7224605,-1.296219,-2.7016225,-0.6083526,-0.75670195,-0.19967544,-1.6209044,-1.4977599,-0.8453937,-2.301551,0.6817631,-1.1601034,-0.45435148,-0.11054283,0.022186145999999907,0.012282526000000016
115003,115003,CAL-72,906827,293,293_906827,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.970417258,0.9298083540000001,0.8228340940000001,0.66972239,0.589546242,0.43497586200000005,0.333750087,0.33102980600000004,0.339377163,0.37272227,1.6342585,0.43129432,-0.47635555,0.9278865,-0.34511548,-0.9731264000000001,-4.068549,-0.26624465,-0.36547995,-0.9627687,-1.3780054,-0.72158486,-1.3911337,-0.9110319,-0.02448267,0.07512627,0.029582741999999995,0.008347356999999944
115042,115042,EW-16,949165,201,201_949165,2,0.032,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.989370671,0.787677063,0.783325685,0.449805849,0.32251499100000003,0.241362852,0.094323665,0.040273347,0.031625787,17.975147,-0.9784258,75.64695999999999,-0.61834097,-0.36246687,0.81189585,-0.63240874,-0.84000915,-0.09566419999999999,-1.8152423,-0.039162393999999996,-3.0016785,-1.1456176000000002,-0.73036915,-1.3233528,-0.4864529,-0.07782802,0.01062932900000002,0.008647559999999999
115099,115099,SK-MG-1,909729,276,276_909729,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.99414851,0.908590138,0.8237468440000001,0.738559958,0.572054455,0.393213849,0.09795746300000001,0.027564078,0.014332592,13.621592499999998,-0.008357823,0.004050255,0.9545901,0.074082494,0.6509471,-0.7615856,-0.8120351,-0.052663565,-0.7700252,-0.76358944,-0.76668215,-1.4985493,-1.6095656,-2.6573076,-0.6335405,-0.11908339,0.005851489999999959,0.013231485999999999
115101,115101,GR-ST,906877,328,328_906877,2,2.56,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9830330290000001,0.842861403,0.47129122799999995,0.248207072,0.221981155,0.212141921,0.224439625,0.22844166300000002,0.21242950100000002,7.261425,1.6508238,-0.39961767,-0.8824394,-0.62482774,-2.2498636000000003,-0.67457056,-5.001005,-0.15270299,-1.2615442,-3.3441315,-2.0077574,-0.23603328,-0.08855314,0.11067935,0.036018316,-0.14410947,0.016966970999999886,0.016012161999999996
115105,115105,U-2-OS,909776,180,180_909776,2,0.512,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9808129109999999,0.8130198590000001,0.696204535,0.801226019,0.597544051,0.169246979,0.116456241,0.163427406,0.142265321,7.745099000000001,-0.3038131,-1.8990387,-2.9394307,1.1027746,-0.8767427,-1.8897616999999998,-1.4505336000000002,-0.17268384,-1.5101373,-1.0513378,0.94519335,-1.8331372,-3.8546739999999997,-0.4751166,0.42274058,-0.19045885,0.0191870890000001,0.021162084999999997
115156,115156,IST-MES1,907173,308,308_907173,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9968774090000001,0.9963640109999999,0.975705415,0.917820662,0.9002715109999999,0.715929543,0.45995571700000004,0.038729268,0.020713538,-0.835573,39.236122,1.8019676,-0.69682705,9.504358,0.38858163,0.64558387,-0.95723027,-0.028103113,-0.00462091,-0.1859275,-0.52096283,-0.15794185,-1.6590778000000002,-2.3037647999999997,-3.7910383000000003,-0.16214159,0.003122590999999897,0.018015729999999997
115185,115185,HOP-62,905972,308,308_905972,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.980148786,0.936334201,0.951063891,0.8427469009999999,0.7134892359999999,0.647551311,0.260356042,0.015435747,0.005833603000000001,1.2071502,-1.3361819,-8.353655,0.1933279,-0.48987204,4.872116,-0.36745018,-0.9607948000000001,-0.17866087,-0.39433140000000005,0.1325671,-0.9748527,-1.1633189,-0.5934415,-3.4847574,-2.2042827999999997,-0.08641931,0.019851214000000006,0.009602144
115237,115237,SU-DHL-16,1331034,45,45_1331034,2,2.56,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.96045644,0.954533365,0.980309058,0.9671165070000001,0.951917928,0.9792626109999999,0.499740526,0.014576318000000001,0.010252093,-0.8502135000000001,-5.351735,-1.5118201,0.15205944,-2.7991574,-18.536234,0.011766076,-0.9910870999999999,-0.35589212,-0.05330783,0.23198156,-0.11873282,-0.13678727,0.24610181,-4.3156989999999995,-4.366478,-0.038918026,0.03954356000000003,0.004324225000000001
115254,115254,EVSA-T,906862,200,200_906862,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9614650020000001,0.974078067,0.967380785,0.8184553379999999,0.380628374,0.14075638599999998,0.12257821099999999,0.082918862,0.03704538,-1.3273144,-1.5309812,21.236649,1.9399066000000003,-0.45213044,-0.9242171999999998,1.1817018999999997,0.15668762,-0.346815,0.11351752,-0.06027567,-1.3403288999999998,-3.9404418,-2.158848,-0.16360356,-0.35693420000000003,-0.41286135,0.03853499799999993,0.04587348199999999
115319,115319,H2373,1290809,272,272_1290809,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.963840481,0.932583899,0.941311707,0.896313809,0.774523126,0.44268599799999997,0.234186087,0.067858702,0.02663912,-0.13559252,-1.2792306,-6.155709,1.7065825000000001,1.724653,-0.37168002,-0.20226639999999999,-0.752178,-0.32543564,-0.28130900000000003,0.07855009,-0.40498140000000005,-1.0961156,-2.9865346,-1.8764993000000003,-1.4969466,-0.37097627,0.03615951900000003,0.041219582000000005
115362,115362,H2461,1290810,273,273_1290810,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.953686363,0.919487442,0.925350186,0.925171884,0.904517621,0.77660832,0.44673985,0.314373018,0.35686481600000003,-0.26157957,-1.1714314,-1.0304084,114.85453000000001,5.1928790000000005,1.5789247,-0.5987284,-1.3210153999999998,-0.4168228,-0.30779046,0.05276495,-0.001604498,-0.18588829999999998,-1.1511837999999999,-2.9688165,-1.1913016,0.38242617,0.04631363700000002,0.042491798000000025
115389,115389,CAL-29,1290730,283,283_1290730,2,0.128,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9741026340000001,0.874735761,0.830142174,0.670023802,0.510935049,0.412323318,0.369630977,0.35421214100000004,0.341310447,2.8369452999999996,-0.55122286,2.5906165,-0.006430984,-0.3801461,-0.5670661,-0.63883877,-0.16325068,-0.23307645,-0.8943015999999999,-0.40134212,-1.4410657,-1.4317982,-0.8875056999999998,-0.3842313,-0.13876946,-0.11611525,0.02589736599999992,0.012901694000000019
115398,115398,NCI-H446,688023,140,140_688023,2,0.064,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.992473174,0.957133789,0.965822904,0.912794592,0.8352450140000001,0.645426382,0.355368529,0.306769846,0.311388851,3.6951356,-1.2458757,-7.1028485,0.4624188,1.4477073999999999,0.52807915,-0.8324518,-1.0950438,-0.067741334,-0.31805474,0.07820194,-0.4772545999999999,-0.6979460999999999,-1.7083677,-2.610521,-0.43738812,0.041571025,0.0075268259999999865,0.004619005000000009
115441,115441,SW626,909753,163,163_909753,2,2.56,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.990305708,0.7845688740000001,0.8622607659999999,0.670078365,0.701284692,0.396126245,0.491627085,0.408011965,0.39245227299999996,20.222506,-1.3776275,-3.4736480000000003,-1.1623788000000002,-10.778727,-1.3129548999999998,-1.8755432,-0.8139128000000001,-0.087248504,-1.8516318999999999,0.69922715,-1.7296418999999998,0.28085726,-2.7464263,0.85950774,-0.7525361999999999,-0.14003734,0.009694292000000049,0.015559692000000014
115442,115442,SW626,909753,194,194_909753,2,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.993430908,0.979728635,0.9178552870000001,0.849889155,0.451566904,0.285413047,0.221112106,0.232479822,0.197368422,1.0858716999999998,3.515555,0.098471165,4.8605995,-0.58286566,-0.6130035,-1.1767893,-4.088692,-0.059121788,-0.12332046,-0.5568603,-0.611695,-3.5848994,-1.4953847,-0.57870865,0.10230952,-0.31600259999999997,0.006569091999999999,0.035111400000000015
115628,115628,NCI-H460,905943,134,134_905943,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9568400359999999,0.7174142020000001,0.42222210200000004,0.190252158,0.120705823,0.076187991,0.120331311,0.068041952,0.071468162,4.547406,0.2329166,-0.21417278,-0.7001925999999999,-0.3598823,-1.9915874,-2.1845362,-1.065524,-0.38843966,-2.1548326,-2.6567287,-2.0877296999999997,-0.6259169,-0.40066049,0.39728990000000003,-0.47060427,0.030835883999999997,0.043159964000000106,0.003426209999999999
115634,115634,SU-DHL-5,1331036,140,140_1331036,2,0.064,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9943429540000001,0.961435096,0.852581253,0.591690664,0.09983286599999999,0.008896236,0.005322306999999999,0.007022405,0.010019293,4.8171824999999995,2.3078318,1.3967063,0.8853023000000001,-0.815116,-0.96069866,-1.4756943999999999,0.76277363,-0.050913155,-0.29617113,-0.9796843000000001,-2.3480155,-4.426719,-0.81842965,-0.032165367,0.015300883999999999,0.026971994,0.005657045999999943,0.0029968880000000005
115785,115785,SW1783,909750,328,328_909750,2,2.56,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.982240187,0.951646245,0.935067537,0.84355217,0.658149479,0.254041558,0.10137518300000001,0.088741011,0.07983725700000001,0.72265065,-0.4581039,4.520046,1.0259181999999998,1.1796231000000001,-0.62221384,-0.91724324,-0.29526395,-0.1598382,-0.27534539,-0.14920859,-0.8236382999999999,-1.6686238999999998,-3.6369714999999996,-1.3739973,-0.113707565,-0.08013382,0.017759812999999958,0.008903753999999986
115797,115797,RPMI-2650,909700,273,273_909700,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9715323579999999,0.894691125,0.844575185,0.5880266279999999,0.40922826799999995,0.168144557,0.07056114599999999,0.033748146,0.022696226,1.6992471000000002,-0.34779888,4.1191006,-0.30306232,0.34835553,-0.5952301999999999,-0.6227535,-0.6997821999999999,-0.2562089,-0.6915710999999999,-0.45104346,-2.3089367999999997,-1.6091851000000001,-2.1697536,-0.8782506999999999,-0.33131704,-0.09946728,0.02846764200000007,0.01105192
115871,115871,MS-1,753594,180,180_753594,2,0.512,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9813780120000001,0.956933037,0.890817685,0.726830277,0.227101427,0.048239585,0.048318016,0.028006354,0.026965182999999997,0.31269586,1.7046561,1.4803243000000001,2.0473604,-0.6420821,-1.0004385,-259.97076,-0.9487402,-0.16759783,-0.22000498,-0.5950378000000001,-1.4758867,-4.4975586,-1.6097567,0.00070589,-0.18280497,-0.00937055,0.018621987999999923,0.001041171000000004
115907,115907,P30-OHK,909252,331,331_909252,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.964617535,0.8298755609999999,0.7006532259999999,0.425069401,0.262396184,0.15089028,0.072188414,0.046399011,0.031012404,2.808158,-0.040964425,1.1326337,-0.40971452,-0.3145402,-0.29419112,-0.67231524,-0.4033748,-0.31844205,-1.2126776000000001,-1.163001,-2.480255,-1.4640585,-1.0035533,-0.7083168000000001,-0.23210463,-0.13847947,0.035382464999999974,0.015386606999999997
115919,115919,EBC-1,753554,184,184_753554,2,2.56,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.975669162,0.9736931999999999,0.996984084,0.990931137,0.934492297,0.8678302990000001,0.728310103,0.022862123999999998,0.027127837000000002,-0.91878814,-12.787155,-1.2598833999999999,8.324247999999999,0.18113708,1.0929487,4.0562434000000005,-1.0060468,-0.21897769,-0.017783582,0.20961784,-0.054476205,-0.50794965,-0.5999582,-1.2556816000000002,-6.349032,0.038391434,0.02433083800000002,0.004265713000000004
